ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER, SALES ,ORDERDATE,DAYS_SINCE_LAST_ORDER,STATUS,PRODUCTLINE,MSRP,SPV,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10316,25,92.25,16," 2,306.25 ",01/09/2023,218,Shipped,Vintage Cars,83.00,9.25,S24_3816,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Cowes,PO31 7PJ,UK,Bennett,Helen,Small
10313,25,182.89,3," 4,572.25 ",22/08/2023,228,Shipped,Classic Cars,169.00,13.89,S18_3232,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada,Tannamuri,Yoshi,Medium
10312,25,44.21,9," 1,105.25 ",21/08/2023,229,Shipped,Vintage Cars,53.00,-8.79,S18_1367,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10312,25,155.25,11," 3,881.25 ",21/08/2023,229,Shipped,Vintage Cars,168.00,-12.75,S18_2795,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium
10107,25,100.19,7," 2,504.75 ",16/08/2023,234,Shipped,Classic Cars,115.00,-14.81,S12_4675,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,Koln,50739,Germany,Pfalzheim,Henriette,Small
10311,25,66.99,2," 1,674.75 ",16/08/2023,234,Shipped,Classic Cars,71.00,-4.01,S18_4933,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10311,25,83.04,5," 2,076.00 ",16/08/2023,234,Shipped,Classic Cars,85.00,-1.96,S24_3191,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10307,25,75.36,2," 1,884.00 ",14/08/2023,236,Shipped,Planes,68.00,7.36,S24_2841,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,USA,Cervantes,Francisca,Small
10297,25,82.79,4," 2,069.75 ",16/07/2023,265,Shipped,Planes,84.00,-1.21,S18_2581,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,Small
10284,25,69.60,7," 1,740.00 ",21/06/2023,290,Shipped,Planes,80.00,-10.40,S700_3167,"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,N 0106,Norway,Klaeboe,Jan,Small
10107,25,119.68,6," 2,992.00 ",20/06/2023,291,Shipped,Classic Cars,136.00,-16.32,S10_4757,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,Lincoln,Elizabeth,Small
10107,25,117.54,13," 2,938.50 ",19/06/2023,292,Shipped,Trucks and Buses,136.00,-18.46,S12_1666,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Small
10281,25,167.65,5," 4,191.25 ",19/06/2023,292,Shipped,Classic Cars,169.00,-1.35,S18_3232,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Medium
10281,25,99.29,10," 2,482.25 ",19/06/2023,292,Shipped,Trucks and Buses,121.00,-21.71,S18_4600,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Small
10281,25,111.18,6," 2,779.50 ",19/06/2023,292,Shipped,Trucks and Buses,127.00,-15.82,S24_2300,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Small
10280,25,62.96,15," 1,574.00 ",17/06/2023,294,Shipped,Vintage Cars,60.00,2.96,S18_2248,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,10100,Italy,Accorti,Paolo,Small
10278,25,126.39,9," 3,159.75 ",06/06/2023,305,Shipped,Classic Cars,140.00,-13.61,S24_3856,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,83030,USA,King,Sue,Medium
10275,25,95.20,11," 2,380.00 ",23/05/2023,319,Shipped,Planes,109.00,-13.80,S24_1785,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small
10271,25,69.28,11," 1,732.00 ",20/05/2023,322,Shipped,Trucks and Buses,60.00,9.28,S18_2432,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10272,25,149.36,5," 3,734.00 ",20/05/2023,322,Shipped,Classic Cars,143.00,6.36,S18_4027,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Medium
10261,25,88.15,5," 2,203.75 ",17/04/2023,355,Shipped,Ships,100.00,-11.85,S700_3505,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada,Fresnisre,Jean,Small
10107,25,90.17,14," 2,254.25 ",01/04/2023,371,Cancelled,Classic Cars,79.00,11.17,S12_3990,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Small
10252,25,113.28,9," 2,832.00 ",26/03/2023,377,Shipped,Motorcycles,102.00,11.28,S32_4485,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France,Perrier,Dominique,Small
10249,25,69.70,2," 1,742.50 ",08/03/2023,395,Shipped,Vintage Cars,65.00,4.70,S24_3420,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,51247,USA,Tseng,Kyung,Small
10107,25,175.25,3," 4,381.25 ",05/03/2023,398,Shipped,Classic Cars,151.00,24.25,S12_3148,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland,Suominen,Kalle,Medium
10235,25,103.21,8," 2,580.25 ",02/02/2023,429,Shipped,Planes,91.00,12.21,S700_1691,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,Lincoln,Elizabeth,Small
10235,25,96.11,2," 2,402.75 ",02/02/2023,429,Shipped,Planes,118.00,-21.89,S700_2834,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,Lincoln,Elizabeth,Small
10107,25,138.04,13," 3,451.00 ",11/01/2023,451,Shipped,Trucks and Buses,136.00,2.04,S12_1666,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium
10229,25,111.72,8," 2,793.00 ",11/01/2023,451,Shipped,Trucks and Buses,96.00,15.72,S32_1268,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10227,25,118.15,3," 2,953.75 ",02/01/2023,460,Shipped,Vintage Cars,102.00,16.15,S18_1342,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,Small
10107,25,99.82,7," 2,495.50 ",22/12/2022,471,Shipped,Classic Cars,117.00,-17.18,S12_3380,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,Small
10223,25,101.39,14," 2,534.75 ",20/12/2022,473,Shipped,Planes,91.00,10.39,S700_1691,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Small
10213,25,83.39,2," 2,084.75 ",22/11/2022,501,Shipped,Classic Cars,71.00,12.39,S18_4933,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,WA1 1DP,UK,Hardy,Thomas,Small
10211,25,90.16,15," 2,254.00 ",15/11/2022,508,Shipped,Motorcycles,112.00,-21.84,S24_1578,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France,Perrier,Dominique,Small
10210,25,112.72,6," 2,818.00 ",12/11/2022,511,Shipped,Planes,118.00,-5.28,S700_2834,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan,Kentary,Mory,Small
10207,25,157.49,11," 3,937.25 ",09/10/2022,545,Shipped,Classic Cars,169.00,-11.51,S18_3232,Diecast Collectables,6175552555,6251 Ingle Ln.,Boston,51003,USA,Franco,Valarie,Medium
10193,25,76.26,16," 1,906.50 ",21/09/2022,563,Shipped,Classic Cars,71.00,5.26,S18_4933,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Glen Waverly,3150,Australia,Connery,Sean,Small
10188,25,101.43,2," 2,535.75 ",18/09/2022,566,Shipped,Motorcycles,112.00,-10.57,S24_1578,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Small
10182,25,87.33,3," 2,183.25 ",12/09/2022,572,Shipped,Vintage Cars,102.00,-14.67,S18_1342,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10181,25,154.47,9," 3,861.75 ",12/09/2022,572,Shipped,Classic Cars,140.00,14.47,S24_3856,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Medium
10180,25,64.20,13," 1,605.00 ",11/09/2022,573,Shipped,Motorcycles,60.00,4.20,S18_2625,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,59000,France,Rance,Martine,Small
10165,25,69.36,9," 1,734.00 ",22/08/2022,593,Shipped,Classic Cars,57.00,12.36,S24_1444,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,Small
10164,25,53.83,7," 1,345.75 ",21/08/2022,594,Resolved,Vintage Cars,50.00,3.83,S18_4668,Mini Auto Werke,7675-3555,Kirchgasse 6,Graz,8010,Austria,Mendel,Roland,Small
10161,25,80.54,1," 2,013.50 ",17/08/2022,598,Shipped,Classic Cars,71.00,9.54,S18_4933,Heintze Collectables,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark,Ibsen,Palle,Small
10161,25,110.39,2," 2,759.75 ",17/08/2022,598,Shipped,Classic Cars,117.00,-6.61,S24_2887,Heintze Collectables,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark,Ibsen,Palle,Small
10152,25,65.31,4," 1,632.75 ",25/07/2022,621,Shipped,Classic Cars,57.00,8.31,S24_1444,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,Small
10148,25,169.28,12," 4,232.00 ",11/07/2022,635,Shipped,Classic Cars,142.00,27.28,S18_1984,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Medium
10148,25,60.26,6," 1,506.50 ",11/07/2022,635,Shipped,Classic Cars,73.00,-12.74,S24_1046,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,Small
10147,25,42.67,1," 1,066.75 ",05/07/2022,641,Shipped,Classic Cars,37.00,5.67,S24_2972,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,58339,USA,Nelson,Allen,Small
10136,25,145.79,2," 3,644.75 ",04/05/2022,703,Shipped,Classic Cars,141.00,4.79,S18_1129,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,31000,France,Roulet,Annette,Medium
10127,25,137.88,5," 3,447.00 ",03/04/2022,734,Shipped,Classic Cars,143.00,-5.12,S18_4027,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,10022,USA,Young,Jeff,Medium
10124,25,93.95,9," 2,348.75 ",21/03/2022,747,Shipped,Classic Cars,117.00,-23.05,S24_2887,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,83030,USA,King,Sue,Small
10122,25,143.94,3," 3,598.50 ",08/03/2022,760,Shipped,Classic Cars,169.00,-25.06,S18_3232,Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Marseille,13008,France,Lebihan,Laurence,Medium
10121,25,86.74,3," 2,168.50 ",07/03/2022,761,Shipped,Motorcycles,102.00,-15.26,S32_4485,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,51100,France,Henriot,Paul,Small
10119,25,76.67,14," 1,916.75 ",28/02/2022,768,Shipped,Ships,66.00,10.67,S700_1138,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Small
10107,25,113.83,3," 2,845.75 ",24/12/2021,834,Shipped,Motorcycles,112.00,1.83,S24_1578,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Small
10105,25,56.78,8," 1,419.50 ",11/12/2021,847,Shipped,Ships,54.00,2.78,S72_3212,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,Small
10103,25,101.58,13," 2,539.50 ",29/11/2021,859,Shipped,Vintage Cars,104.00,-2.42,S18_3136,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Small
10103,25,114.92,15," 2,873.00 ",29/11/2021,859,Shipped,Vintage Cars,97.00,17.92,S24_4258,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Small
10101,25,151.28,4," 3,782.00 ",09/11/2021,879,Shipped,Vintage Cars,127.00,24.28,S18_2325,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany,Keitel,Roland,Medium
10424,26,59.87,4," 1,556.62 ",31/03/2024,6,In Process,Vintage Cars,50.00,9.87,S18_4668,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10420,26,100.66,12," 2,617.16 ",29/03/2024,8,In Process,Classic Cars,107.00,-6.34,S24_3432,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small
10416,26,61.22,7," 1,591.72 ",10/03/2024,27,Shipped,Vintage Cars,68.00,-6.78,S32_4289,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy,Moroni,Maurizio,Small
10412,26,133.11,3," 3,460.86 ",03/03/2024,34,Shipped,Trucks and Buses,115.00,18.11,S50_1392,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium
10411,26,111.72,1," 2,904.72 ",01/03/2024,36,Shipped,Trucks and Buses,96.00,15.72,S32_1268,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada,Fresnisre,Jean,Small
10407,26,76.43,8," 1,987.18 ",22/02/2024,44,On Hold,Classic Cars,73.00,3.43,S24_1046,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,94217,USA,Frick,Sue,Small
10390,26,78.11,7," 2,030.86 ",04/01/2024,93,Shipped,Vintage Cars,168.00,-89.89,S18_2795,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10107,26,99.04,4," 2,575.04 ",03/01/2024,94,Shipped,Classic Cars,194.00,-94.96,S12_1099,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Small
10383,26,128.48,12," 3,340.48 ",22/12/2023,106,Shipped,Trains,100.00,28.48,S18_3259,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium
10382,26,104.17,6," 2,708.42 ",17/12/2023,111,Shipped,Trucks and Buses,96.00,8.17,S32_1268,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10371,26,155.54,1," 4,044.04 ",23/11/2023,135,Shipped,Trucks and Buses,96.00,59.54,S32_1268,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium
10107,26,51.15,8," 1,329.90 ",17/10/2023,172,Shipped,Motorcycles,118.00,-66.85,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small
10361,26,142.73,7," 3,710.98 ",17/10/2023,172,Shipped,Planes,68.00,74.73,S24_3949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Medium
10361,26,105.95,9," 2,754.70 ",17/10/2023,172,Shipped,Planes,99.00,6.95,S700_2466,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small
10356,26,31.86,7, 828.36 ,09/10/2023,180,Shipped,Vintage Cars,44.00,-12.14,S24_2022,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Small
10356,26,151.45,4," 3,937.70 ",09/10/2023,180,Shipped,Motorcycles,81.00,70.45,S50_4713,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Medium
10107,26,75.47,5," 1,962.22 ",02/10/2023,187,Shipped,Classic Cars,136.00,-60.53,S10_4757,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10107,26,169.56,10," 4,408.56 ",01/10/2023,188,Shipped,Classic Cars,173.00,-3.44,S12_3891,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,10022,USA,Young,Jeff,Medium
10347,26,102.19,12," 2,656.94 ",29/09/2023,190,Shipped,Vintage Cars,99.00,3.19,S18_3320,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Small
10346,26,95.88,6," 2,492.88 ",29/09/2023,190,Shipped,Classic Cars,107.00,-11.12,S24_3432,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,83030,USA,King,Sue,Small
10344,26,63.43,5," 1,649.18 ",25/09/2023,194,Shipped,Classic Cars,71.00,-7.57,S18_4933,Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Marseille,13008,France,Lebihan,Laurence,Small
10342,26,55.95,8," 1,454.70 ",24/09/2023,195,Shipped,Motorcycles,62.00,-6.05,S18_3782,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Small
10107,26,122.62,2," 3,188.12 ",19/09/2023,200,On Hold,Classic Cars,147.00,-24.38,S10_4962,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden,Berglund,Christina,Medium
10331,26,64.90,10," 1,687.40 ",17/09/2023,202,Shipped,Classic Cars,132.00,-67.10,S18_2870,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,71270,USA,Hernandez,Rosa,Small
10332,26,114.58,17," 2,979.08 ",17/09/2023,202,Shipped,Vintage Cars,62.00,52.58,S18_2957,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK,Ashworth,Victoria,Small
10331,26,67.91,12," 1,765.66 ",17/09/2023,202,Shipped,Classic Cars,141.00,-73.09,S18_3685,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,71270,USA,Hernandez,Rosa,Small
10332,26,85.52,10," 2,223.52 ",17/09/2023,202,Shipped,Vintage Cars,44.00,41.52,S24_2022,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK,Ashworth,Victoria,Small
10107,26,225.70,3," 5,868.20 ",15/09/2023,204,Shipped,Motorcycles,193.00,32.70,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium
10107,26,58.38,7," 1,517.88 ",05/09/2023,214,Shipped,Trucks and Buses,118.00,-59.62,S12_4473,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Small
10321,26,155.88,13," 4,052.88 ",04/09/2023,215,Shipped,Classic Cars,140.00,15.88,S24_3856,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Medium
10320,26,61.23,2," 1,591.98 ",03/09/2023,216,Shipped,Classic Cars,61.00,0.23,S24_3371,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden,Berglund,Christina,Small
10318,26,86.83,6," 2,257.58 ",02/09/2023,217,Shipped,Motorcycles,76.00,10.83,S24_2000,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Small
10311,26,87.45,6," 2,273.70 ",16/08/2023,234,Shipped,Classic Cars,73.00,14.45,S24_1046,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10107,26,179.24,4," 4,660.24 ",15/08/2023,235,Shipped,Motorcycles,150.00,29.24,S12_2823,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
10304,26,85.87,8," 2,232.62 ",11/08/2023,239,Shipped,Vintage Cars,104.00,-18.13,S18_3136,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France,Tonini,Daniel,Small
10297,26,109.88,2," 2,856.88 ",16/07/2023,265,Shipped,Motorcycles,99.00,10.88,S32_1374,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,Small
10296,26,48.44,1," 1,259.44 ",15/07/2023,266,Shipped,Vintage Cars,43.00,5.44,S50_1341,"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Hansastr. 15,Munich,80686,Germany,Donnermeyer,Michael,Small
10295,26,75.34,4," 1,958.84 ",10/07/2023,271,Shipped,Ships,66.00,9.34,S700_1138,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,51003,USA,Yoshido,Juri,Small
10292,26,175.19,7," 4,554.94 ",08/07/2023,273,Shipped,Classic Cars,163.00,12.19,S18_2238,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium
10291,26,57.73,2," 1,500.98 ",08/07/2023,273,Shipped,Trucks and Buses,60.00,-2.27,S18_2432,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Small
10291,26,83.79,3," 2,178.54 ",08/07/2023,273,Shipped,Trucks and Buses,96.00,-12.21,S32_1268,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Small
10290,26,96.23,2," 2,501.98 ",07/07/2023,274,Shipped,Vintage Cars,99.00,-2.77,S18_3320,Auto-Moto Classics Inc.,6175558428,16780 Pompton St.,Brickhaven,58339,USA,Taylor,Leslie,Small
10285,26,100.01,4," 2,600.26 ",27/06/2023,284,Shipped,Motorcycles,102.00,-1.99,S32_4485,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Small
10280,26,141.10,16," 3,668.60 ",17/06/2023,294,Shipped,Vintage Cars,170.00,-28.90,S18_1749,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,10100,Italy,Accorti,Paolo,Medium
10279,26,60.58,1," 1,575.08 ",09/06/2023,302,Shipped,Classic Cars,71.00,-10.42,S18_4933,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10273,26,114.21,9," 2,969.46 ",21/05/2023,321,Shipped,Ships,99.00,15.21,S700_3962,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium,Dewey,Catherine,Small
10107,26,155.13,12," 4,033.38 ",15/04/2023,357,Shipped,Classic Cars,147.00,8.13,S10_4962,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore,Victorino,Wendy,Medium
10257,26,89.29,5," 2,321.54 ",14/04/2023,358,Shipped,Vintage Cars,99.00,-9.71,S18_3320,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,94217,USA,Frick,Sue,Small
10253,26,117.48,5," 3,054.48 ",01/04/2023,371,Cancelled,Classic Cars,141.00,-23.52,S18_1129,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Medium
10252,26,136.90,4," 3,559.40 ",26/03/2023,377,Shipped,Classic Cars,148.00,-11.10,S18_4721,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France,Perrier,Dominique,Medium
10251,26,101.43,3," 2,637.18 ",18/03/2023,385,Shipped,Motorcycles,112.00,-10.57,S24_1578,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,Brown,William,Small
10241,26,81.33,7," 2,114.58 ",13/02/2023,418,Shipped,Classic Cars,85.00,-3.67,S24_3191,Mini Caravy,88.60.1555,"24, place Kluber",Strasbourg,67000,France,Citeaux,Frederique,Small
10237,26,52.22,1," 1,357.72 ",05/02/2023,426,Shipped,Motorcycles,62.00,-9.78,S18_3782,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Small
10237,26,79.65,4," 2,070.90 ",05/02/2023,426,Shipped,Motorcycles,69.00,10.65,S24_2360,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Small
10237,26,40.23,2," 1,045.98 ",05/02/2023,426,Shipped,Motorcycles,40.00,0.23,S32_2206,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Small
10232,26,88.34,7," 2,296.84 ",20/01/2023,442,Shipped,Ships,86.00,2.34,S700_1938,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Cowes,PO31 7PJ,UK,Bennett,Helen,Small
10229,26,144.82,4," 3,765.32 ",11/01/2023,451,Shipped,Trucks and Buses,122.00,22.82,S18_2319,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium
10227,26,142.80,10," 3,712.80 ",02/01/2023,460,Shipped,Vintage Cars,170.00,-27.20,S18_1749,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,Medium
10223,26,67.20,15," 1,747.20 ",20/12/2022,473,Shipped,Planes,80.00,-12.80,S700_3167,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Small
10222,26,102.29,8," 2,659.54 ",19/12/2022,474,Shipped,Ships,90.00,12.29,S700_2047,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,91217,USA,Thompson,Valarie,Small
10220,26,56.07,8," 1,457.82 ",12/12/2022,481,Shipped,Classic Cars,57.00,-0.93,S24_1444,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,Small
